Nome,País,Cidade,Ranking_Internacional,Linguas_Competencia,Taxas_Extras,Cursos_em_Ingles,Auxilio_Monetario,Auxilio_Moradia,Data_Inspecao,Link_Universidade
Friedrich-Schiller-Universität Jena,Alemanha,Jena,461,Alemão B2 || Ingles B2,"300,00 EUR",Parcial/Condicional,Não,Não,11/02/2025,https://www.uni-jena.de/en/68/international
Hochschule Karlsruhe,Alemanha,Karlsruhe,102,Alemão B2 || Ingles B2,"120,00 EUR
",Parcial/Condicional,Não,Não,11/02/2025,https://www.h-ka.de/en/exchange-students
Hochschule Rhein-Waal,Alemanha,Kleve,,Alemão B2 || Ingles B2,"330,00 EUR",Parcial/Condicional,Parcial/Condicional,Não,12/02/2025,https://www.hochschule-rhein-waal.de/en/international/incoming-exchange-students
Johannes Gutenberg - Universität Mainz,Alemanha,Mainz,501,Alemão B2,"360,00 EUR",Não,Não,Não,12/02/2025,https://www.studium.uni-mainz.de/en/starting-your-studies/starting-your-studies-as-an-international-student/non-degree-seeking-students/
Technische Hochschule Ulm - THU,Alemanha,Ulm,554,Alemão B2 || Ingles B2,"100,00 EUR",Parcial/Condicional,Parcial/Condicional,Não,12/02/2025,https://www.thu.de/en/org/aaa/Pages/Incomings.aspx
Technische Universität Clausthal,Alemanha,Clausthal-Zellerfeld,,Alemão B2 || Ingles B2,"125,00 EUR",Parcial/Condicional,Não,Não,12/02/2025,https://www.izc.tu-clausthal.de/en/ways-to-clausthal/incoming-worldwide
Universität Augsburg - Uni-Augsburg,Alemanha,Augsburg,,Alemão B2 || Ingles B2,"150,00 EUR",Parcial/Condicional,Parcial/Condicional,Parcial/Condicional,12/02/2025,https://www.uni-augsburg.de/en/portal/internationals/weltweit-incoming/
Universität Münster,Alemanha,Münster,367,Alemão B1 || Ingles B2,"350,00 EUR",Parcial/Condicional,Não,Não,12/02/2025,https://www.uni-muenster.de/studieninteressierte/en/austausch/index.html
Inst. Universitario Ciencias de la Salud - Fundación Barceló,Argentina,Buenos Aires,,Espanhol B2,,Não,Não,Não,12/02/2025,https://barcelo.edu.ar/Alumnos-Incoming
Universidad de Buenos Aires - Facultad de Agronomía,Argentina,Buenos Aires,71,Espanhol B2,,Não,Não,Não,12/02/2025,https://www.agro.uba.ar/internacionales/alumnos/extranjeros
Universidad Nacional de Avellaneda,Argentina,Avellaneda,,,,Não,Não,Não,12/02/2025,https://www.undav.edu.ar/index.php?idcateg=83
Universidad Nacional de la Patagonia San Juan Bosco,Argentina,Comodoro Rivadavia,,Espanhol B1,,Não,Não,Não,12/02/2025,https://www.unp.edu.ar/
Universidad Nacional de La Plata,Argentina,La Plata,534,Espanhol B1,,Não,Não,Não,12/02/2025,"https://unlp.edu.ar/institucional/secretaria_relaciones_institucionales/relaciones-
internacionales/estancias_cortas_rrii-6421-11421/"
"Universidad Nacional de Rosario - Facultad de Arquitectura, Planeamiento y Diseño",Argentina,Rosario,951,,,Não,Não,Não,12/02/2025,https://fapyd.unr.edu.ar/wp-content/uploads/2020/12/Guia-para-estudiantes-internacionales.pdf
Universidad Pedagógica Nacional-Argentina,Argentina,Buenos Aires,,,,Não,Não,Não,12/02/2025,https://unipe.edu.ar/
Daffodil International University,Bangladesh,Daffodil Smart City,1201,Ingles B2,VRC,Sim,Não,Não,12/02/2025,https://daffodilvarsity.edu.bd/article/incoming-student-exchange
Université de Liège,Belgica,Liège,396,Frances B1 || Ingles B1,VRC,Parcial/Condicional,Parcial/Condicional,Não,12/02/2025,https://www.enseignement.uliege.be/cms/c_9017255/en/international-mobility
Université Libre de Bruxelles,Belgica,Bruxelles,230,Frances B1,VRC,Não,Parcial/Condicional,Não,12/02/2025,https://www.ulb.be/fr/international/etudiants-internationaux
Universidad Mayor de San Simón,Bolivia,Cochabamba,1401,Espanhol B1,,Parcial/Condicional,Não,Não,12/02/2025,https://www.umss.edu.bo/
Universidad Privada Franz Tamayo,Bolivia,La Paz,,Espanhol B1,,Não,Não,Não,12/02/2025,https://rrii.unifranz.edu.bo/estudia-en-bolivia
Memorial University of Newfoundland,Canada,St. Johns,661,Ingles B2 || Ingles C1,"260,00 DOL",Sim,Parcial/Condicional,Não,12/02/2025,https://www.mun.ca/goabroad/visiting-students-inbound/#d.en.270091
Université de Montréal,Canada,Montreal,159,Frances B2,,Não,Parcial/Condicional,Não,12/02/2025,"https://international.umontreal.ca/communaute-etudiante-internationale/choisir-udem/programme-echanges-
etudiants/"
University of Quebec at Trois-Rivieres,Canada,Trois-Rivieres,1664,Frances B2,,Não,Não,Não,12/02/2025,https://www.uqtr.ca/etudiants-internationaux/index.shtml
Pontificia Universidad Católica de Valparaíso,Chile,Valparaiso,801,Espanhol B2,,Não,Não,Parcial/Condicional,17/02/2025,https://dgai.pucv.cl/estudiar-en-la-pucv-pregrado/
Universidad de Chile ,Chile,Santiago,139,,,Não,Não,Não,17/02/2025,https://fau.uchile.cl/admision/2024/estudiar-en-la-fau
"The Chinese University of Hong Kong, Shenzhen",China,Shenzen,36,"Ingles B2
","2450,00 CNY",Sim,Não,Parcial/Condicional,17/02/2025,https://oal.cuhk.edu.cn/en/incoming_students
Dong-A University,Coreia do Sul,Busan,601,Ingles B2,VRC,Sim,Parcial/Condicional,Parcial/Condicional,17/02/2025,https://dms.donga.ac.kr/globalen/9063/subview.do
Hankuk University of Foreign Studies,Coreia do Sul,Seoul,651,Ingles B2,VRC,Sim,Não,Não,17/02/2025,ttps://coordinatorguide.hufs.ac.kr/Fact-Sheet-and-Eligibility
Hanyang University,Coreia do Sul,Seoul,162,Ingles B2,,Sim,Não,Não,17/02/2025,https://oiec.bnu.edu.cn/docs//2024-05/d56b22aba7384849b2c8fc3c67846da3.pdf
Sookmyung Womens University,Coreia do Sul,Seoul,1201,Ingles B2,"75,490 KRW",Sim,Não,Não,17/02/2025,https://carleton.ca/isso/wp-content/uploads/%E2%98%852024-25-Spring-SMU-Fact-Sheet-240208.pdf
Universidad Nacional - Costa Rica,Costa Rica,Heredia,1201,Espanhol B1,,Não,Não,Não,17/02/2025,https://www.una.ac.cr/estudiantes/#servicios_estudiantes
Universidad Técnica de Manabí,Equador,Portoviejo,,Espanhol B1,,Não,Não,Não,17/02/2025,https://www.utm.edu.ec/internacionalizacion
Universidad de Huelva,Espanha,Huelva,,,,Parcial/Condicional,Não,Não,18/02/2025,https://www.uhu.es/internacionalizacion/students-guide
Universidad de Jaén,Espanha,Jaén,,,,Não,Parcial/Condicional,Não,18/02/2025,https://www.ujaen.es/servicios/serinco/tramites-y-servicios/estudiantes-entrantesincoming-students
Universidad de La Laguna,Espanha,San Cristóbal de La Laguna,,Espanhol B2,"12,00 EUR",Não,Não,Parcial/Condicional,18/02/2025,https://www.ull.es/internacional/
Universidad de Málaga,Espanha,Malaga,,,,Não,Não,Não,18/02/2025,https://www.uma.es/relaciones-internacionales/info/132543/student-guides-2223/
Universidad de Salamanca,Espanha,Salamanca,539,,,Não,Não,Parcial/Condicional,18/02/2025,https://rel-int.usal.es/en/students/incoming-students/information-for-incoming-mobility-students
Universidad de Sevilla,Espanha,Sevilla,462,Espanhol B1,,Não,Não,Parcial/Condicional,18/02/2025,https://www.us.es/sites/default/files/internacional/factsheet-US.pdf
Universidad de Valladolid,Espanha,Valladolid,851,Espanhol B1,,Não,Não,Não,18/02/2025,https://relint.uva.es/inicio/internacional/english/international-welcome-point-en/
Universidade da Coruña,Espanha,Coruña,1001,,"10,00 EUR",Não,Não,Não,18/02/2025,https://www.udc.es/en/ori/infestudantesextranxeiros/convenios_bilaterais/guia_acollida/
Universidad de Santiago de Compostela,Espanha,Santiago de Compostela,651,,"20,60 EUR",Não,Não,Não,18/02/2025,https://www.usc.gal/gl/servizos/area/internacional
